
cea25b63-cb86-45dd-a622-21a557d29823,Magic Color-Changing Mug,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,DEFECTUOSO,PERIFERICO,LABORATORIO,6
2d165421-0375-41ae-a20d-063e618db699,Cordless Water Flosser,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,BASURA,CABLE,TELECOMUNICACIONES,9
158206d5-aa1d-4398-b5a5-9569514a26df,Rechargeable Laptop Battery Pack,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,PERFECTO,COMPONENTE,LABORATORIO,8
1d93708a-61aa-4aa5-90d8-7e3798aa6020,Vegetable Lasagna,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,DEFECTUOSO,HERRAMIENTA,INFORMATICA,10
cfd8f689-826f-4066-9e0a-0f3c1e520fcd,Reusable Coffee Filter,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,DEFECTUOSO,COMPONENTE,ADMINISTRATIVO,9
550f4f3a-a3f5-4c18-b3ff-0deb1772022c,Turkey Bacon,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,PERFECTO,PC,TELECOMUNICACIONES,10
9606debe-5bd8-431c-9faa-8c824e349e6e,Self-Stirring Mug,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,BASURA,PERIFERICO,TELECOMUNICACIONES,8
97e2d3ff-1ce6-4805-85da-7f9fc6524d98,Home Office Chair,morbi non quam nec dui luctus rutrum nulla tellus in,DEFECTUOSO,HERRAMIENTA,TELECOMUNICACIONES,10
66999c65-8707-4bd1-a08d-5628a8da317a,Elegant Maxi Skirt,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,PERFECTO,DISCO,ADMINISTRATIVO,10
335b02af-dc00-4320-b003-60e27f485a24,Falafel Mix,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum,PERFECTO,DISCO,LABORATORIO,7
